class,precision,recall,f1_score,support
"Bank account or service, Savings account",0.66,0.78,0.72,503.0
"Consumer loan, Vehicle loan or lease, Payday loan, title loan, or personal loan",0.63,0.25,0.36,347.0
Credit card or prepaid card,0.84,0.65,0.73,767.0
"Credit reporting, credit repair services, or other personal consumer reports",0.82,0.91,0.86,2683.0
Debt collection,0.78,0.81,0.79,1435.0
"Money transfer, virtual currency, or money service",0.69,0.4,0.5,198.0
Mortgage,0.8,0.85,0.82,797.0
Student loan,0.77,0.74,0.76,270.0
accuracy,,,,0.79
macro avg,0.75,0.67,0.69,7000.0
weighted avg,0.79,0.79,0.78,7000.0
